"Subject","Valence","meanPushRT","meanPullRT"
706,"Neutral",709.466666666667,638.4375
706,"Positive",699.25,621.5
707,"Angry",491.5,540.5625
707,"Disgust",589.1875,564.4375
707,"Neutral",493.0625,585.5
707,"Positive",527.066666666667,544.533333333333
708,"Angry",677.6875,684.75
708,"Disgust",682.5625,637.5625
708,"Neutral",629.4375,684.5625
708,"Positive",713.75,679.6875
709,"Angry",1030.1875,1092.0625
709,"Disgust",893.25,928.266666666667
709,"Neutral",794.785714285714,968.4375
709,"Positive",921.75,953.066666666667
712,"Angry",824.0625,809.5
712,"Disgust",737,793.25
712,"Neutral",706.1875,758.625
712,"Positive",802.75,767.466666666667
713,"Angry",786.9375,776
713,"Disgust",737.125,846.0625
713,"Neutral",736.4375,739.4375
713,"Positive",729.5625,778.8125
714,"Angry",710.25,766.75
714,"Disgust",801.466666666667,815.4
714,"Neutral",693.4,713.75
714,"Positive",680.625,743.375
715,"Angry",594.8125,676.75
715,"Disgust",623.6875,598
715,"Neutral",599.0625,590.875
715,"Positive",596.5,590.5
716,"Angry",542.1875,512.6875
716,"Disgust",537.5625,530.625
716,"Neutral",564.1875,582.4375
716,"Positive",567.8125,532.6
717,"Angry",576.125,563.1875
717,"Disgust",565.5,570.0625
717,"Neutral",575.5,572.625
717,"Positive",612.5,595.0625
719,"Angry",657.8125,634.125
719,"Disgust",643.5625,779.6875
719,"Neutral",632.125,644.875
719,"Positive",767.125,1014.5
720,"Angry",857.5625,929.75
720,"Disgust",871.6875,887
720,"Neutral",870.1875,908.125
720,"Positive",883,917.1875
721,"Angry",571.3125,503.8125
721,"Disgust",520.3125,527.1875
721,"Neutral",531.25,555.8125
721,"Positive",524,523.4375
722,"Angry",746.8,769.5625
722,"Disgust",723.6875,596.333333333333
722,"Neutral",693.066666666667,775.857142857143
722,"Positive",653.571428571429,674.1875
723,"Angry",764.875,707.4
723,"Disgust",698,789
723,"Neutral",787.1875,696.625
723,"Positive",750.666666666667,611.25
725,"Angry",587.625,581
725,"Disgust",554.125,631
725,"Neutral",578.375,599.1875
725,"Positive",590.75,588.8125
726,"Angry",731.25,654.8125
726,"Disgust",654.5,695.4375
726,"Neutral",660.3125,677.3125
726,"Positive",748.625,652.5
727,"Angry",692.1875,834.5
727,"Disgust",647.125,708.75
727,"Neutral",824.9375,719.125
727,"Positive",677.625,697.733333333333
